date analyse,id,present,,,,,
06/05/2025,18_139,oui,,,,,
06/05/2025,18_424_2,oui,,,,,
06/05/2025,18_547,oui,,,,,
06/05/2025,18_554_1_1,oui,,,,,
06/05/2025,18_554_1_2,oui,,,,,
06/05/2025,18_554_1_3,oui,,,,,
06/05/2025,18_554_1_4,oui,,,,,
06/05/2025,18_554_1_5,oui,,,,,
06/05/2025,18_565_2,oui,,,,,
06/05/2025,18_582,oui,,,,,
06/05/2025,18_773,oui,,,,,
06/05/2025,19_045,oui,,,,,
06/05/2025,19_104_1,oui,,,,,
06/05/2025,19_104_2,oui,,,,,
06/05/2025,19_107,oui,,,,,
06/05/2025,23_039,oui,,,,,
06/05/2025,23_041_1,oui`,,,,,
06/05/2025,23_053,oui,,,,,
06/05/2025,23_122b,oui,,,,,
12/06/2025,23_122b,oui,,,,,
12/06/2025,23_318,oui,,,,,
06/05/2025,23_397,oui,,,,,
12/06/2025,24_027,oui,,,,,
06/05/2025,24_062,oui,,,,,
12/06/2025,24_081,oui,,,,,
06/05/2025,24_093_1,oui,,,,,
12/06/2025,24_126,oui,,,,,
12/06/2025,24_131,oui,,,,,
06/05/2025,24_157,oui,,,,,
12/06/2025,24_tongoa,oui,,,,,
,,,,,,,